lwage,female,age,race,children,marital,education,RN_experience,left_nursing,country_ed_US,english_only,military,certificates,labor_union,work_setting,work_situation,level_care,care_specialty,state
4.4636707,1,67,white,0,currently_married,ed_bsn,47,left5plus,1,1,never_served_mil,0,0,SET_ambulatory,SIT_agency_facility,LC_others,CC_medical_surgical,state_n34
3.5134783,1,37,other_race,0,widowed_divorced_sep,ed_assoc,11,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n7
3.9528449,1,57,white,0,currently_married,ed_assoc,25,left_0,1,1,never_served_mil,2,1,SET_long_term_inpatient,SIT_agency_facility,LC_inpatient,CC_psychiatric,state_n42
3.0365543,1,31,white,1,currently_married,ed_bsn,5,left_12,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_obgyn,state_n44
3.4420195,1,50,white,0,currently_married,ed_bsn,13,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_chronic_care,state_n15
3.672543,1,52,white,0,currently_married,ed_assoc,24,left_0,1,1,never_served_mil,3,0,SET_long_term_inpatient,SIT_agency_facility,LC_others,CC_ambulatory_care,state_n44
3.665163,1,30,white,0,currently_married,ed_bsn,4,left_0,1,1,never_served_mil,0,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n45
3.1726866,1,31,white,1,currently_married,ed_assoc,8,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_cardiac_care,state_n12
3.665163,1,35,white,0,currently_married,ed_assoc,4,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n34
3.8648763,1,45,white,0,currently_married,ed_bsn,20,left_0,1,1,never_served_mil,3,1,SET_hospital,SIT_agency_facility,LC_critical_care,CC_medical_surgical,state_n44
3.4828413,1,46,white,0,currently_married,ed_bsn,24,left_0,1,1,never_served_mil,0,1,SET_ambulatory,SIT_agency_facility,LC_surgery,CC_medical_surgical,state_n20
4.0481553,1,51,white,0,currently_married,ed_msn,17,left_0,1,1,never_served_mil,4,0,SET_hospital,SIT_agency_facility,LC_admin,CC_no_patient_care,state_n4
3.665163,1,56,white,0,currently_married,ed_assoc,36,left_0,1,1,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_care_coordination,CC_no_patient_care,state_n1
3.7297015,1,52,white,0,widowed_divorced_sep,ed_bsn,30,left_35,0,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_care_coordination,CC_no_patient_care,state_n2
3.1235657,1,65,white,0,currently_married,ed_assoc,22,left_0,1,1,served_mil,3,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n3
3.665163,1,53,other_race,0,currently_married,ed_bsn,9,left_0,0,0,never_served_mil,2,0,SET_other_setting,SIT_agency_facility,LC_admin,CC_no_patient_care,state_n24
3.835062,0,36,asian,1,currently_married,ed_bsn,9,left_0,1,1,never_served_mil,1,1,SET_other_setting,SIT_agency_facility,LC_care_coordination,CC_hospice,state_n45
3.4420195,1,35,white,1,currently_married,ed_bsn,9,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_others,CC_medical_surgical,state_n5
3.3730264,1,46,hispanic,0,never_married,ed_bsn,19,left_0,1,0,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_education,CC_no_patient_care,state_n7
3.787521,1,45,white,0,currently_married,ed_bsn,23,left_0,1,1,never_served_mil,1,1,SET_other_setting,SIT_agency_facility,LC_ambulatory_care,CC_ambulatory_care,state_n44
3.8658338,1,48,white,0,currently_married,ed_bsn,21,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_ambulatory_care,CC_psychiatric,state_n24
3.6343913,1,66,white,0,currently_married,ed_assoc,41,left_12,1,1,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n17
3.8250115,1,39,white,0,currently_married,ed_msn,18,left_0,1,1,never_served_mil,0,0,SET_hospital,SIT_agency_facility,LC_admin,CC_no_patient_care,state_n19
2.8934534,1,64,white,0,currently_married,ed_assoc,31,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_nursing_home,CC_hospice,state_n16
3.59617,1,33,white,1,currently_married,ed_bsn,4,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n12
3.8250115,0,33,other_race,1,currently_married,ed_assoc,3,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n9
3.64269,1,64,white,0,currently_married,ed_bsn,41,left5plus,1,1,never_served_mil,2,1,SET_ambulatory,SIT_agency_facility,LC_others,CC_ambulatory_care,state_n45
3.506558,0,36,white,1,currently_married,ed_bsn,6,left_0,1,0,served_mil,1,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n35
3.7153127,1,57,white,0,currently_married,ed_bsn,36,left_0,1,1,never_served_mil,1,0,SET_ambulatory,SIT_agency_facility,LC_admin,CC_ambulatory_care,state_n36
3.4420195,1,59,white,0,widowed_divorced_sep,ed_assoc,27,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_obgyn,state_n1
3.8250115,1,41,white,0,currently_married,ed_bsn,8,left_0,1,0,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_admin,CC_chronic_care,state_n14
3.7434947,1,29,white,1,currently_married,ed_bsn,4,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n20
3.259698,0,63,white,0,currently_married,ed_assoc,4,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_employment_agency_TN,LC_inpatient,CC_medical_surgical,state_n8
3.6463199,1,49,white,0,widowed_divorced_sep,ed_bsn,27,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_obgyn,state_n16
3.3458755,1,37,white,1,currently_married,ed_bsn,10,left_0,1,1,never_served_mil,3,0,SET_other_setting,SIT_agency_facility,LC_public_health,CC_no_patient_care,state_n43
3.5421028,1,58,white,0,widowed_divorced_sep,ed_bsn,7,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_obgyn,state_n3
3.9015517,1,47,white,0,currently_married,ed_bsn,23,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_others,CC_ambulatory_care,state_n13
3.6119184,1,56,white,0,currently_married,ed_assoc,32,left_0,1,1,never_served_mil,2,0,SET_ambulatory,SIT_agency_facility,LC_ambulatory_care,CC_cardiac_care,state_n25
3.2989185,1,32,white,0,never_married,ed_bsn,10,left_0,1,1,never_served_mil,3,1,SET_ambulatory,SIT_agency_facility,LC_care_coordination,CC_ambulatory_care,state_n44
2.9675615,1,64,white,0,currently_married,ed_assoc,33,left_0,1,1,never_served_mil,0,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n10
3.3550081,1,26,white,0,never_married,ed_bsn,3,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n10
3.5318756,1,37,white,1,currently_married,ed_assoc,15,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n23
3.495129,1,48,white,0,currently_married,ed_bsn,22,left_0,1,1,never_served_mil,2,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n38
3.6274226,1,29,white,0,never_married,ed_assoc,3,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n24
3.218876,1,62,white,0,currently_married,ed_assoc,30,left_0,1,1,never_served_mil,0,0,SET_hospital,SIT_agency_facility,LC_nursing_home,CC_no_patient_care,state_n34
3.9795132,1,65,white,0,widowed_divorced_sep,ed_assoc,37,left_0,1,0,never_served_mil,0,1,SET_hospital,SIT_agency_facility,LC_care_coordination,CC_no_patient_care,state_n28
3.54738,1,56,white,1,widowed_divorced_sep,ed_assoc,34,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n8
3.9073827,1,36,white,0,currently_married,ed_bsn,14,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_obgyn,state_n14
2.9973335,1,69,white,0,currently_married,ed_assoc,34,left_0,1,1,never_served_mil,1,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n33
3.6904807,1,36,white,0,currently_married,ed_msn,6,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n23
4.0173836,1,57,white,0,widowed_divorced_sep,ed_bsn,35,left_0,1,1,never_served_mil,1,0,SET_ambulatory,SIT_agency_facility,LC_ambulatory_care,CC_ambulatory_care,state_n26
3.1907048,0,34,white,1,currently_married,ed_assoc,4,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n29
3.790326,1,62,white,0,currently_married,ed_bsn,24,left_12,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_surgery,CC_medical_surgical,state_n24
3.4973695,1,31,white,1,currently_married,ed_assoc,10,left_12,1,1,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_ambulatory_care,CC_no_patient_care,state_n38
3.6045382,1,53,white,0,widowed_divorced_sep,ed_bsn,31,left_12,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n31
3.5556786,1,28,white,1,currently_married,ed_bsn,6,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n12
3.54738,1,31,white,1,currently_married,ed_bsn,7,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n37
3.9638948,1,45,asian,0,currently_married,ed_msn,25,left_0,0,0,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_others,CC_critical_care,state_n36
3.851919,1,62,white,0,widowed_divorced_sep,ed_msn,40,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_admin,CC_no_patient_care,state_n42
3.54738,1,35,white,1,currently_married,ed_assoc,6,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n44
3.54738,1,37,white,1,currently_married,ed_bsn,14,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_obgyn,state_n43
3.835062,1,30,other_race,0,never_married,ed_bsn,3,left_0,1,0,never_served_mil,3,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_critical_care,state_n32
3.8193135,1,54,white,0,currently_married,ed_bsn,33,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_ambulatory_care,CC_ambulatory_care,state_n17
2.9720159,1,69,white,0,currently_married,ed_assoc,43,left5plus,1,1,never_served_mil,0,0,SET_ambulatory,SIT_agency_facility,LC_ambulatory_care,CC_ambulatory_care,state_n46
3.2516656,1,32,white,1,currently_married,ed_bsn,10,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_surgery,CC_ambulatory_care,state_n43
3.259698,1,48,white,0,currently_married,ed_assoc,15,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n29
3.687142,1,49,white,0,currently_married,ed_bsn,10,left_0,1,1,served_mil,3,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n19
3.5626473,1,54,white,0,widowed_divorced_sep,ed_bsn,31,left_0,1,1,never_served_mil,0,0,SET_hospital,SIT_agency_facility,LC_ambulatory_care,CC_oncology,state_n42
3.8883064,1,61,white,0,widowed_divorced_sep,ed_bsn,39,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_care_coordination,CC_no_patient_care,state_n42
3.1135154,1,41,white,1,currently_married,ed_assoc,9,left_0,1,1,never_served_mil,2,0,SET_ambulatory,SIT_agency_facility,LC_others,CC_medical_surgical,state_n1
3.522062,1,68,white,0,currently_married,ed_assoc,29,left_0,1,1,never_served_mil,3,0,SET_long_term_inpatient,SIT_agency_facility,LC_others,CC_no_patient_care,state_n36
3.4683366,1,60,white,0,currently_married,ed_bsn,27,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n38
3.4585488,1,51,hispanic,0,widowed_divorced_sep,ed_bsn,3,left_0,1,0,never_served_mil,0,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_oncology,state_n17
4.18646,1,38,asian,0,never_married,ed_bsn,14,left_0,1,1,never_served_mil,1,1,SET_hospital,SIT_agency_facility,LC_ambulatory_care,CC_critical_care,state_n45
3.59617,1,46,white,0,widowed_divorced_sep,ed_bsn,22,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_admin,CC_no_patient_care,state_n2
3.8956866,0,63,white,0,currently_married,ed_assoc,29,left_0,1,1,served_mil,3,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n7
3.530573,1,29,white,0,currently_married,ed_assoc,3,left_0,1,1,never_served_mil,1,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n44
3.336659,1,53,white,0,currently_married,ed_assoc,28,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_care_coordination,CC_no_patient_care,state_n29
3.8474846,1,44,white,0,currently_married,ed_bsn,7,left_0,1,1,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_others,CC_no_patient_care,state_n2
4.6459923,1,30,white,0,currently_married,ed_bsn,8,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n6
3.9528449,1,45,white,0,currently_married,ed_bsn,22,left_0,1,1,never_served_mil,1,1,SET_ambulatory,SIT_agency_facility,LC_public_health,CC_no_patient_care,state_n45
3.3242364,1,26,white,1,currently_married,ed_assoc,4,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n1
3.9275272,1,66,white,0,widowed_divorced_sep,ed_bsn,41,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_chronic_care,state_n5
3.404279,0,27,white,1,currently_married,ed_bsn,5,left_0,1,1,never_served_mil,1,0,SET_long_term_inpatient,SIT_agency_facility,LC_inpatient,CC_psychiatric,state_n19
3.54738,1,67,white,0,widowed_divorced_sep,ed_assoc,27,left_LT1,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_no_patient_care,state_n16
3.912023,1,43,asian,0,widowed_divorced_sep,ed_bsn,23,left_0,0,0,never_served_mil,2,0,SET_long_term_inpatient,SIT_agency_facility,LC_inpatient,CC_psychiatric,state_n4
3.4420195,1,62,white,0,currently_married,ed_assoc,41,left_12,1,1,never_served_mil,1,0,SET_ambulatory,SIT_self_employed,LC_others,CC_no_patient_care,state_n5
3.404279,1,31,white,1,currently_married,ed_assoc,7,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n19
3.4828413,1,56,white,0,currently_married,ed_assoc,32,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_others,CC_critical_care,state_n30
4.1759887,1,55,other_race,0,currently_married,ed_assoc,8,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_others,CC_chronic_care,state_n45
3.357026,1,71,white,0,currently_married,ed_assoc,25,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n13
3.8206732,1,54,white,0,widowed_divorced_sep,ed_bsn,24,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_medical_surgical,state_n27
3.1907048,1,33,hispanic,0,currently_married,ed_bsn,9,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n36
4.32057,1,66,white,0,currently_married,ed_assoc,45,left_0,1,1,never_served_mil,3,1,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n4
3.9528449,1,29,white,1,currently_married,ed_bsn,6,left_0,1,1,never_served_mil,2,0,SET_other_setting,SIT_self_employed,LC_hospice,CC_cardiac_care,state_n15
3.390726,1,63,white,0,currently_married,ed_bsn,26,left_0,1,1,never_served_mil,1,1,SET_other_setting,SIT_agency_facility,LC_public_health,CC_no_patient_care,state_n17
2.908721,1,50,white,0,currently_married,ed_bsn,25,left_0,1,1,never_served_mil,2,0,SET_ambulatory,SIT_agency_facility,LC_surgery,CC_medical_surgical,state_n44
3.3550081,0,26,white,0,never_married,ed_bsn,3,left_0,1,1,never_served_mil,3,1,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n8
2.248097,1,54,white,0,currently_married,ed_assoc,26,left5plus,1,1,never_served_mil,2,0,SET_ambulatory,SIT_agency_facility,LC_surgery,CC_medical_surgical,state_n24
2.5665507,1,64,white,0,currently_married,ed_bsn,44,left_0,1,1,never_served_mil,3,0,SET_ambulatory,SIT_agency_facility,LC_others,CC_ambulatory_care,state_n42
3.54738,1,46,white,0,currently_married,ed_assoc,6,left_0,1,1,never_served_mil,2,0,SET_other_setting,SIT_agency_facility,LC_care_coordination,CC_no_patient_care,state_n37
3.519981,1,28,white,0,never_married,ed_bsn,3,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n35
2.985261,0,30,white,0,never_married,ed_bsn,5,left_0,1,1,never_served_mil,3,0,SET_long_term_inpatient,SIT_agency_facility,LC_nursing_home,CC_cardiac_care,state_n30
3.790326,0,31,asian,0,never_married,ed_bsn,8,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_surgery,CC_medical_surgical,state_n45
3.157507,1,47,white,0,never_married,ed_assoc,16,left_0,1,1,never_served_mil,1,0,SET_ambulatory,SIT_agency_facility,LC_surgery,CC_ambulatory_care,state_n19
3.835062,1,35,white,0,widowed_divorced_sep,ed_msn,11,left_0,1,1,never_served_mil,2,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_obgyn,state_n24
3.396557,1,44,white,0,currently_married,ed_bsn,21,left_0,1,1,never_served_mil,1,0,SET_ambulatory,SIT_agency_facility,LC_others,CC_ambulatory_care,state_n16
4.001635,1,65,white,0,currently_married,ed_bsn,29,left_0,1,1,never_served_mil,0,0,SET_ambulatory,SIT_agency_facility,LC_admin,CC_critical_care,state_n7
4.0173836,1,29,white,0,never_married,ed_bsn,7,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_employment_agency_TN,LC_critical_care,CC_chronic_care,state_n28
3.6517398,1,48,white,0,widowed_divorced_sep,ed_msn,24,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_education,CC_no_patient_care,state_n37
3.7297015,1,43,white,0,currently_married,ed_assoc,7,left_0,1,1,never_served_mil,1,0,SET_ambulatory,SIT_agency_facility,LC_ambulatory_care,CC_medical_surgical,state_n6
3.54738,0,34,white,0,never_married,ed_assoc,8,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_admin,CC_no_patient_care,state_n28
3.3774807,1,60,white,0,widowed_divorced_sep,ed_assoc,14,left5plus,1,1,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_others,CC_no_patient_care,state_n29
3.406928,1,68,white,0,currently_married,ed_assoc,46,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_surgery,CC_ambulatory_care,state_n10
3.9528449,1,55,other_race,0,currently_married,ed_assoc,14,left_0,1,1,never_served_mil,1,0,SET_long_term_inpatient,SIT_agency_facility,LC_nursing_home,CC_ambulatory_care,state_n26
3.665163,1,54,white,0,widowed_divorced_sep,ed_bsn,32,left_0,1,1,never_served_mil,2,0,SET_ambulatory,SIT_agency_facility,LC_surgery,CC_ambulatory_care,state_n42
3.8046026,1,44,white,0,never_married,ed_bsn,6,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_no_patient_care,state_n25
4.070628,1,49,white,0,currently_married,ed_bsn,26,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_admin,CC_medical_surgical,state_n31
3.59617,0,48,white,0,currently_married,ed_assoc,9,left_0,1,1,served_mil,1,0,SET_hospital,SIT_agency_facility,LC_ambulatory_care,CC_medical_surgical,state_n42
3.5755508,1,65,white,0,currently_married,ed_assoc,23,left_0,1,1,never_served_mil,2,1,SET_ambulatory,SIT_agency_facility,LC_others,CC_ambulatory_care,state_n28
3.7297015,1,29,white,1,currently_married,ed_bsn,6,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_surgery,CC_medical_surgical,state_n11
3.3730264,1,40,white,0,currently_married,ed_assoc,13,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_others,CC_medical_surgical,state_n21
3.807663,1,32,white,0,never_married,ed_bsn,9,left_0,1,0,never_served_mil,3,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_oncology,state_n45
3.9528449,1,64,white,0,currently_married,ed_assoc,42,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_surgery,CC_ambulatory_care,state_n17
3.6914802,1,55,white,0,currently_married,ed_assoc,33,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_ambulatory_care,CC_ambulatory_care,state_n44
3.665163,1,50,asian,0,currently_married,ed_bsn,27,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_admin,CC_no_patient_care,state_n4
3.54738,1,37,white,1,widowed_divorced_sep,ed_bsn,14,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_self_employed,LC_surgery,CC_medical_surgical,state_n5
3.23438,1,75,white,0,currently_married,ed_assoc,38,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_surgery,CC_medical_surgical,state_n3
3.54738,1,30,white,0,currently_married,ed_bsn,8,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n16
3.6163728,1,50,white,0,widowed_divorced_sep,ed_assoc,26,left_0,1,1,never_served_mil,2,0,SET_ambulatory,SIT_agency_facility,LC_urgent_care,CC_ambulatory_care,state_n33
4.283087,1,60,white,0,never_married,ed_assoc,32,left_0,1,1,never_served_mil,1,1,SET_hospital,SIT_agency_facility,LC_ambulatory_care,CC_ambulatory_care,state_n28
3.54738,1,29,white,0,currently_married,ed_bsn,7,left_0,1,1,never_served_mil,1,1,SET_hospital,SIT_agency_facility,LC_others,CC_critical_care,state_n44
3.912023,1,49,white,0,currently_married,ed_msn,26,left_0,1,1,never_served_mil,0,0,SET_hospital,SIT_agency_facility,LC_others,CC_no_patient_care,state_n37
3.4933126,1,30,white,0,widowed_divorced_sep,ed_bsn,7,left_0,1,1,never_served_mil,4,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n44
3.5899396,1,63,white,0,widowed_divorced_sep,ed_assoc,28,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_ambulatory_care,CC_oncology,state_n19
3.3116577,1,62,white,0,currently_married,ed_assoc,25,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n37
3.6083405,1,66,white,0,currently_married,ed_assoc,33,left_0,1,1,never_served_mil,1,0,SET_ambulatory,SIT_agency_facility,LC_inpatient,CC_ambulatory_care,state_n42
3.7043836,1,58,white,0,currently_married,ed_bsn,36,left_LT1,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_others,CC_critical_care,state_n19
3.7015305,1,58,white,0,currently_married,ed_assoc,36,left_0,1,1,never_served_mil,4,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_ambulatory_care,state_n12
3.019747,1,73,white,0,widowed_divorced_sep,ed_bsn,51,left5plus,1,1,never_served_mil,2,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n34
4.070628,1,50,white,0,currently_married,ed_bsn,8,left_0,1,1,never_served_mil,1,1,SET_other_setting,SIT_agency_facility,LC_others,CC_critical_care,state_n42
3.8883064,1,57,hispanic,0,widowed_divorced_sep,ed_assoc,10,left_0,1,0,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_hospice,state_n27
3.9528449,0,46,white,1,widowed_divorced_sep,ed_assoc,18,left_0,1,1,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_critical_care,CC_chronic_care,state_n24
4.4228487,1,63,white,0,widowed_divorced_sep,ed_assoc,38,left_0,1,1,never_served_mil,3,0,SET_hospital,SIT_agency_facility,LC_others,CC_medical_surgical,state_n4
3.4748092,0,33,white,0,currently_married,ed_bsn,5,left_0,1,1,served_mil,0,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n42
3.54738,1,35,white,1,currently_married,ed_bsn,12,left_0,1,0,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_surgery,CC_ambulatory_care,state_n12
3.7665155,1,36,white,0,currently_married,ed_bsn,15,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_hospice,CC_no_patient_care,state_n12
